Genre,Film Link
action,/film/the-fast-and-the-furious-2001/
action,/film/minority-report/
action,/film/jurassic-world-fallen-kingdom/
action,/film/the-marvels/
action,/film/raya-and-the-last-dragon/
action,/film/jurassic-world-dominion/
action,/film/kong-skull-island/
action,/film/death-proof/
action,/film/x-men-apocalypse/
action,/film/maleficent/
action,/film/pokemon-detective-pikachu/
action,/film/the-fifth-element/
action,/film/transformers/
action,/film/spectre-2015/
action,/film/the-gray-man-2022/
action,/film/predator/
action,/film/indiana-jones-and-the-kingdom-of-the-crystal-skull/
action,/film/sherlock-holmes-2009/
action,/film/black-adam/
action,/film/looper/
action,/film/mission-impossible-rogue-nation/
action,/film/ghost-in-the-shell/
action,/film/batman-returns/
action,/film/mission-impossible-ghost-protocol/
action,/film/the-last-duel-2021/
action,/film/the-matrix-revolutions/
action,/film/harakiri/
action,/film/300/
action,/film/mandy-2018/
action,/film/braveheart/
action,/film/godzilla-kong-the-new-empire/
action,/film/godzilla-2014/
action,/film/x2/
action,/film/training-day/
action,/film/creed-iii/
action,/film/pirates-of-the-caribbean-on-stranger-tides/
action,/film/morbius/
action,/film/the-worlds-end/
action,/film/robocop/
action,/film/the-lost-world-jurassic-park/
action,/film/sonic-the-hedgehog/
action,/film/battle-royale/
action,/film/american-sniper/
action,/film/blue-beetle/
action,/film/road-house-2024/
action,/film/the-interview-2014/
action,/film/pirates-of-the-caribbean-dead-men-tell-no-tales/
action,/film/now-you-see-me-2/
action,/film/the-wolverine/
action,/film/the-fast-and-the-furious-tokyo-drift/
action,/film/shark-tale/
action,/film/godzilla-king-of-the-monsters-2019/
action,/film/cloverfield/
action,/film/damsel-2024/
action,/film/the-bourne-identity-2002/
action,/film/they-live/
action,/film/sin-city/
action,/film/speed/
action,/film/mission-impossible-iii/
action,/film/x-men-origins-wolverine/
action,/film/x-men-the-last-stand/
action,/film/independence-day/
action,/film/the-karate-kid/
action,/film/alita-battle-angel/
action,/film/point-break/
action,/film/red-notice/
action,/film/ran/
action,/film/kung-fu-panda-4/
action,/film/rush-hour/
action,/film/mission-impossible-ii/
action,/film/kung-fu-panda-3/
action,/film/mad-max/
action,/film/the-lost-city-2022/
action,/film/from-dusk-till-dawn/
action,/film/the-kings-man/
action,/film/the-meg/
action,/film/dune/
action,/film/king-kong-2005/
action,/film/platoon/
action,/film/quantum-of-solace/
action,/film/dark-phoenix/
action,/film/2-fast-2-furious/
action,/film/taken/
action,/film/in-time/
action,/film/miss-congeniality/
action,/film/argylle/
action,/film/maze-runner-the-scorch-trials/
action,/film/total-recall/
action,/film/creed-ii/
action,/film/gran-turismo/
action,/film/true-romance/
action,/film/constantine/
action,/film/fantastic-four-2005/
action,/film/blade/
action,/film/national-treasure/
action,/film/starship-troopers/
action,/film/fast-five/
action,/film/crouching-tiger-hidden-dragon/
action,/film/murder-mystery/
action,/film/furious-7/
action,/film/fast-x/
action,/film/fall-2022/
action,/film/captain-phillips/
action,/film/atomic-blonde/
action,/film/pineapple-express/
action,/film/tron-legacy/
action,/film/the-man-from-uncle/
action,/film/violent-night/
action,/film/rush-2013/
action,/film/logan-lucky/
action,/film/upgrade/
action,/film/maze-runner-the-death-cure/
action,/film/troy/
action,/film/star-trek/
action,/film/charlies-angels/
action,/film/the-raid-2011/
action,/film/men-in-black-ii/
action,/film/love-and-monsters/
action,/film/shazam-fury-of-the-gods/
action,/film/2012/
action,/film/face-off/
action,/film/jurassic-park-iii/
action,/film/army-of-the-dead-2021/
action,/film/werewolf-by-night/
action,/film/men-in-black-3/
action,/film/escape-from-new-york/
action,/film/sonic-the-hedgehog-2/
action,/film/the-other-guys/
action,/film/bumblebee/
action,/film/sherlock-holmes-a-game-of-shadows/
action,/film/alien-3/
action,/film/i-robot/
action,/film/the-crow/
action,/film/the-blues-brothers/
action,/film/mad-max-2/
action,/film/f9/
